  PID TTY          TIME CMD
    1 ?        00:00:01 init
    2 ?        00:00:00 kthreadd
    3 ?        00:00:01 ksoftirqd/0
    4 ?        00:00:00 kworker/0:0
    5 ?        00:00:00 kworker/0:0H
    7 ?        00:00:00 kworker/u:0H
    8 ?        00:00:00 migration/0
    9 ?        00:00:00 rcu_bh
   10 ?        00:00:00 rcu_sched
   11 ?        00:00:00 watchdog/0
   12 ?        00:00:00 watchdog/1
   13 ?        00:00:00 migration/1
   14 ?        00:00:00 ksoftirqd/1
   15 ?        00:00:00 kworker/1:0
   16 ?        00:00:00 kworker/1:0H
   17 ?        00:00:00 watchdog/2
   18 ?        00:00:00 migration/2
   19 ?        00:00:00 ksoftirqd/2
   20 ?        00:00:00 kworker/2:0
   21 ?        00:00:00 kworker/2:0H
   22 ?        00:00:00 watchdog/3
   23 ?        00:00:00 migration/3
   24 ?        00:00:00 ksoftirqd/3
   25 ?        00:00:00 kworker/3:0
   26 ?        00:00:00 kworker/3:0H
   27 ?        00:00:00 khelper
   28 ?        00:00:00 kdevtmpfs
   29 ?        00:00:00 netns
   30 ?        00:00:00 bdi-default
   31 ?        00:00:00 kintegrityd
   32 ?        00:00:00 kblockd
   33 ?        00:00:00 ata_sff
   34 ?        00:00:00 khubd
   35 ?        00:00:00 md
   36 ?        00:00:00 devfreq_wq
   38 ?        00:00:00 kworker/1:1
   40 ?        00:00:00 khungtaskd
   41 ?        00:00:00 kswapd0
   42 ?        00:00:00 ksmd
   43 ?        00:00:00 khugepaged
   44 ?        00:00:00 fsnotify_mark
   45 ?        00:00:00 ecryptfs-kthrea
   46 ?        00:00:00 crypto
   57 ?        00:00:00 kthrotld
   61 ?        00:00:00 kworker/3:1
   62 ?        00:00:00 binder
   81 ?        00:00:00 deferwq
   82 ?        00:00:00 charger_manager
  265 ?        00:00:00 scsi_eh_0
  266 ?        00:00:00 scsi_eh_1
  267 ?        00:00:00 scsi_eh_2
  268 ?        00:00:00 scsi_eh_3
  269 ?        00:00:00 scsi_eh_4
  270 ?        00:00:00 scsi_eh_5
  273 ?        00:00:00 kworker/u:5
  274 ?        00:00:00 kworker/u:6
  285 ?        00:00:00 kworker/2:2
  301 ?        00:00:00 jbd2/sda5-8
  302 ?        00:00:00 ext4-dio-unwrit
  392 ?        00:00:00 upstart-udev-br
  395 ?        00:00:00 udevd
  560 ?        00:00:00 irq/42-mei
  648 ?        00:00:00 udevd
  649 ?        00:00:00 udevd
  656 ?        00:00:00 kworker/3:1H
  660 ?        00:00:00 kworker/0:1H
  661 ?        00:00:00 kworker/1:1H
  686 ?        00:00:00 hci0
